target_id	pdb_id	comp_id	label_asym_id	auth_asym_id	formula_weight	heavy_atoms	rscc	rsr	completeness	is_subject_of_investigation	covalent	status	reason	recorded
10JX_1	10JX	HEM	L	B	616.487	43	0.988	0.063	1.0	Y	0	ok		2026-09-25T21:50:35+08:00
29LW_1	29LW	9O9	G	B	455.356	31	0.983	0.045	1.0	Y	0	ok		2026-09-25T21:50:36+08:00
30JI_1	30JI	A1J6V	B	A	396.503	28	0.972	0.056	1.0	Y	0	ok		2026-09-25T21:50:36+08:00
35TM_1	35TM	AR6	C	A	559.316	36	0.966	0.061	1.0	Y	0	ok		2026-09-25T21:50:36+08:00
36IQ_1	36IQ	DM2	C	A	543.519	39	0.956	0.071	1.0	Y	0	ok		2026-09-25T21:50:36+08:00
37JY_1	37JY	A1AEP	G	B	635.372	42	0.978	0.053	1.0	Y	0	ok		2026-09-25T21:50:36+08:00
44ID_1	44ID	BHF	D	B	272.297	21	0.97	0.048	1.0	Y	0	ok		2026-09-25T21:50:36+08:00
8JQU_1	8JQU	GNP	C	A	522.196	32	0.989	0.034	1.0	Y	0	ok		2026-09-25T21:50:37+08:00
8KBM_1	8KBM	C2E	D	B	690.411	46	0.955	0.069	1.0	Y	0	ok		2026-09-25T21:50:37+08:00
8POR_1	8POR	EYT	C	A	740.265	46	0.992	0.036	1.0	Y	0	ok		2026-09-25T21:50:38+08:00
8PWC_1	8PWC	G7I	D	A	591.46	41	0.995	0.028	1.0	Y	0	ok		2026-09-25T21:50:38+08:00
8QX5_1	8QX5	45D	D	B	564.84	42	0.955	0.062	1.0	Y	0	ok		2026-09-25T21:50:39+08:00
8R5N_1	8R5N	ATP	C	A	507.181	31	0.994	0.025	1.0	Y	0	ok		2026-09-25T21:50:40+08:00
8RCY_1	8RCY	A1H0Q	D	A	364.785	24	0.964	0.057	1.0	Y	0	ok		2026-09-25T21:50:40+08:00
8RD7_1	8RD7	AR6	K	D	559.316	36	0.978	0.066	1.0	Y	0	ok		2026-09-25T21:50:40+08:00
